epoch,train_avg_loss,train_accuracy,test_avg_loss,test_accuracy
0,1.8579357505759315,32.686,1.6332516730586184,39.2
1,1.3211928452067363,51.942,1.1765565653390522,58.26
2,1.0264986168088206,63.994,1.0277952763098706,64.44
3,0.8687126275218661,69.652,0.9714404963239839,67.73
4,0.7447762904722063,74.546,0.7125066488604003,75.79
5,0.6421242373068924,78.358,0.9916848887371111,68.07
6,0.5813120451119854,80.396,0.638722995036765,79.25
7,0.5392294941503374,81.956,0.6505795630473125,78.64
8,0.5060923679939011,83.256,0.602245763887333,80.02
9,0.48627105705878315,83.814,0.6181093137475508,79.27
10,0.4654663676191169,84.49,0.5295647801477698,82.46
11,0.44898008865773525,85.198,0.7054249002963682,77.36
12,0.44132412691860246,85.518,0.5166115096852749,83.18
13,0.4223080437506556,86.088,0.5751645059525212,81.0
14,0.41811513279557533,86.324,1.4879156901866575,59.39
15,0.4061849095937236,86.834,0.4557017650030836,85.1
16,0.399269664569584,86.998,0.6197159494025798,80.69
17,0.3929462790336755,87.092,0.6465824291675906,79.1
18,0.3850948111632901,87.458,0.5513863367370412,83.62
19,0.37695813685884255,87.838,0.4776370095301278,84.43
20,0.3743873322787492,87.794,0.5431769124314755,82.42
21,0.37106175027082644,88.02,0.5509963903246047,82.0
22,0.3647753777711288,88.142,0.6130600356602971,80.87
23,0.3658514071989547,88.016,0.4545515107957623,85.76
24,0.35302612539904804,88.508,0.7315428985070579,77.75
25,0.3540334804817234,88.702,0.5001320633329923,84.41
26,0.3502863567427296,88.764,0.529380327538599,82.83
27,0.3439037420255754,88.836,0.7098768647712997,78.32
28,0.3414849818819929,88.916,0.4874541740628737,84.55
29,0.33789055529610273,89.166,0.45577253797386263,85.46
30,0.19674403673928717,94.156,0.24847824032170862,92.01
31,0.15080175581185715,95.76,0.23944318860392028,92.89
32,0.12982181979872076,96.482,0.2454325551096397,92.88
33,0.11687719517046838,96.912,0.23628510676230055,92.92
34,0.10859059723441863,97.126,0.23816126594437828,93.2
35,0.09906269245021179,97.568,0.24332173857130582,92.98
36,0.09116908441990842,97.71,0.23948958723605435,93.11
37,0.08305018104593773,98.088,0.24060715263402915,93.45
38,0.07664130525210934,98.274,0.24636697816320613,93.13
39,0.0726698894539605,98.434,0.24751145930229862,93.47
40,0.07189926761857536,98.448,0.26012624404098417,92.87
41,0.06683285165663876,98.616,0.26409969582587856,93.26
42,0.06463955191280836,98.682,0.27182547861262213,93.01
43,0.06139238536967646,98.798,0.2795112894117078,93.03
44,0.06275131316174326,98.772,0.2708082864933376,92.96
45,0.06156116172366435,98.798,0.2717905480273162,92.86
46,0.06086730067630101,98.81,0.263098651944082,93.1
47,0.06164613654336813,98.76,0.2873523813448375,92.55
48,0.060923701280828024,98.814,0.27464552610358106,93.08
49,0.05650654157428333,98.988,0.2795086423807506,92.79
50,0.04427706153439286,99.378,0.23686182979918732,93.94
51,0.03675177261766875,99.676,0.23456726713648327,93.99
52,0.03540390548879838,99.734,0.23672063507233995,94.06
53,0.03398549048434895,99.762,0.2338748437505734,94.23
54,0.03311472593823357,99.768,0.2365729425904117,94.11
55,0.032076811398882084,99.824,0.2341103884804098,94.27
56,0.03175248060365925,99.842,0.23624178116457373,94.2
57,0.03157605877732072,99.862,0.23751003710152227,94.09
58,0.03080128436274541,99.854,0.23596648617258556,94.16
59,0.030605940519810637,99.894,0.23428489956297452,94.22
60,0.03009010674646291,99.878,0.23558277825388727,94.22
61,0.030013753973004764,99.88,0.23543592910223368,94.35
62,0.030083829732349767,99.892,0.23458128611120996,94.28
63,0.029589792465805398,99.898,0.23662068232705322,94.22
64,0.029097568105591838,99.916,0.23373487648330157,94.23
65,0.02904619499945732,99.904,0.2352095748993415,94.36
66,0.029051590415522875,99.898,0.2338219878228405,94.32
67,0.028852245872816467,99.91,0.23342529014696048,94.24
68,0.028882737678792472,99.92,0.2343542449459245,94.33
69,0.028813582413908467,99.92,0.2347591352425044,94.26
70,0.0286703750710277,99.922,0.23430123208444328,94.31
71,0.028697112827654688,99.928,0.23431881620914122,94.34
72,0.02858255608269321,99.92,0.2365870770019821,94.23
73,0.028723560592821797,99.904,0.23420280850009073,94.45
74,0.02848902238947351,99.944,0.23487679943253723,94.22
75,0.02841203802210443,99.942,0.23693526262723946,94.28
76,0.028662840404626355,99.922,0.2358291972475716,94.39
77,0.02874835866891667,99.912,0.2356090648453447,94.28
78,0.028763227645888963,99.9,0.23406928475899033,94.32
79,0.028146601770349475,99.934,0.23789280954795547,94.25
80,0.028626049766340828,99.91,0.23509450219100034,94.47
81,0.028315288064729834,99.942,0.23484726646278478,94.35
82,0.028542199965251987,99.93,0.23377045149667353,94.4
83,0.028633868598076692,99.932,0.23427411913871765,94.37
84,0.028562078190505352,99.916,0.23591955138158194,94.26
85,0.028752636193009593,99.916,0.23448773530087894,94.39
86,0.028411525365946544,99.922,0.23568740402218663,94.27
87,0.028873941377567512,99.918,0.23400588314744492,94.36
88,0.02867404452008207,99.924,0.2342563698752017,94.33
89,0.028709223189050583,99.922,0.23506816957570328,94.27
90,0.028872008090052765,99.9,0.23394961098704156,94.35
91,0.028357656405824223,99.92,0.23568487063616136,94.32
92,0.028480245748444287,99.92,0.23401869607122638,94.35
93,0.02830130385373102,99.938,0.23730603407455397,94.36
94,0.028836654156179684,99.908,0.23317747808332684,94.43
95,0.028624395956583035,99.916,0.23458477260568475,94.33
96,0.028332973289710787,99.918,0.23498156817653512,94.39
97,0.028706046126192184,99.922,0.23303088385470305,94.38
98,0.02832530227387348,99.946,0.23507041983966587,94.36
99,0.028620343798261776,99.926,0.23347792746145515,94.37
