epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
0,26.746,38.92,2.0656284744262696,1.731229288482666,0.1
1,40.332,46.19,1.6974418697357179,1.5617823068618775,0.09990133642141358
2,47.134,52.15,1.5444359358215332,1.4132882152557373,0.0996057350657239
3,53.982,55.91,1.3986518834304809,1.361446854019165,0.09911436253643444
4,60.472,63.17,1.2494058418655396,1.2111758361816407,0.09842915805643154
5,65.62,64.11,1.1306075431442262,1.1896254512786866,0.09755282581475767
6,69.006,70.03,1.0490738735961913,1.047697871685028,0.09648882429441256
7,72.178,70.6,0.9815095069885253,1.0565263210296632,0.09524135262330098
8,74.434,73.44,0.9249504531097412,0.9590572922706604,0.09381533400219318
9,75.864,73.68,0.8922355729866028,0.9656463920593261,0.09221639627510075
10,77.008,75.95,0.864439628124237,0.9057343311309815,0.09045084971874737
11,77.662,77.22,0.8433743695449829,0.8735077521324158,0.08852566213878946
12,78.724,73.26,0.8220762924575805,0.9842313140869141,0.08644843137107057
13,79.608,75.66,0.8024445970535279,0.9279708103179931,0.08422735529643442
14,79.834,79.77,0.793197146244049,0.8015031029701233,0.08187119948743447
15,80.55,77.48,0.7737225828170776,0.8603415823936462,0.07938926261462366
16,81.15,78.66,0.7621041347503662,0.8329636833190918,0.07679133974894982
17,81.652,79.71,0.7482821244049073,0.8173134544372559,0.07408768370508576
18,82.242,76.88,0.7337989211273194,0.8799078077316285,0.07128896457825362
19,82.248,83.15,0.7291426868438721,0.7233920373916626,0.06840622763423389
20,83.046,80.71,0.7161140181922913,0.7935398839950562,0.06545084971874736
21,83.566,83.67,0.7023265691947937,0.6942119369506836,0.06243449435824272
22,84.046,84.12,0.6888230932617188,0.682006190776825,0.05936906572928623
23,84.39,83.14,0.6790095862960815,0.7265115481376648,0.056266661678215216
24,84.792,84.42,0.664586936378479,0.6818989941596985,0.053139525976465665
25,85.484,82.0,0.65262263589859,0.7581188494682312,0.049999999999999996
26,85.862,84.07,0.6442293445777894,0.7042387676239014,0.046860474023534326
27,86.312,83.65,0.6323182264328003,0.7070231595993042,0.04373333832178478
28,86.908,86.7,0.6172674522781372,0.627532568359375,0.040630934270713764
29,87.28,86.62,0.6059451031494141,0.630710921573639,0.03756550564175726
30,87.824,87.75,0.5930707513046265,0.6005483881950379,0.03454915028125265
31,88.428,86.94,0.5798674823379517,0.6202374475479125,0.03159377236576612
32,88.89,88.45,0.5660809682655334,0.577744205570221,0.028711035421746366
33,89.358,88.98,0.5526289008140564,0.566359593963623,0.025912316294914226
34,89.912,89.38,0.537898451347351,0.5620062089920044,0.023208660251050155
35,90.706,89.54,0.5224191337966919,0.5547416410446167,0.020610737385376346
36,91.22,90.43,0.5091868632125854,0.5298374017715454,0.01812880051256551
37,91.7,89.59,0.49462341930389403,0.5551175009727478,0.015772644703565562
38,92.254,90.87,0.47909254247665406,0.5255124715805054,0.013551568628929433
39,92.842,91.22,0.4653764199447632,0.5116712648391724,0.011474337861210542
40,93.618,91.22,0.44807369192123414,0.5105385440826417,0.009549150281252632
41,93.926,91.82,0.4381119863033295,0.501474566936493,0.007783603724899257
42,94.616,92.2,0.4246032885456085,0.48432886695861815,0.0061846659978068205
43,94.964,92.58,0.41284001239776613,0.4818769205093384,0.004758647376699033
44,95.612,92.74,0.3980211687088013,0.4719474975585938,0.0035111757055874327
45,95.914,93.08,0.3926112903308868,0.4664890296936035,0.0024471741852423235
46,96.156,93.07,0.3844960382270813,0.4658365921974182,0.0015708419435684518
47,96.382,93.31,0.37875530948638914,0.46255750017166136,0.000885637463565564
48,96.53,93.31,0.3741750572490692,0.462635063457489,0.00039426493427611173
49,96.558,93.47,0.37444798879623414,0.4605054989814758,9.866357858642205e-05
50,96.54,93.33,0.3741897975730896,0.46049480257034303,0.0
