epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
0,23.506,35.25,2.212108410987854,1.7387454984664916,0.1
1,40.218,43.56,1.6118183394241332,1.6124791355133057,0.09990133642141358
2,52.032,58.93,1.3158635694122314,1.165722953605652,0.0996057350657239
3,62.356,61.93,1.0507103142929077,1.1343979097366332,0.09911436253643444
4,69.224,74.42,0.8671081155586242,0.7326252512931823,0.09842915805643154
5,73.966,75.85,0.744681794681549,0.6913007761001587,0.09755282581475767
6,76.57,77.45,0.6753944031333924,0.6690078796863556,0.09648882429441256
7,78.574,79.07,0.6231147818756103,0.6132890479087829,0.09524135262330098
8,79.812,77.28,0.5852162008285522,0.7000242960453034,0.09381533400219318
9,80.568,82.19,0.5591529823970794,0.521944378376007,0.09221639627510075
10,81.488,79.6,0.5333606541824341,0.6153544846534729,0.09045084971874737
11,82.014,82.39,0.5208307129287719,0.5155258739948273,0.08852566213878946
12,82.706,81.24,0.4980075726699829,0.5512371327400207,0.08644843137107057
13,83.486,83.22,0.4801648742485046,0.5106353213310242,0.08422735529643442
14,84.126,81.34,0.458181280708313,0.545856968832016,0.08187119948743447
15,84.556,84.57,0.44950191650390625,0.45509298987388613,0.07938926261462366
16,85.064,84.29,0.4350987388420105,0.4813479024887085,0.07679133974894982
17,85.36,84.18,0.42537070665359494,0.489396786737442,0.07408768370508576
18,86.02,82.55,0.4055700350284576,0.5073704727172852,0.07128896457825362
19,86.63,83.78,0.389855003118515,0.4889985746860504,0.06840622763423389
20,86.782,86.6,0.3822235435295105,0.4111773261070251,0.06545084971874736
21,87.116,86.8,0.3726536392879486,0.4039126609802246,0.06243449435824272
22,87.494,86.89,0.36274384870529175,0.3904847849845886,0.05936906572928623
23,87.952,85.46,0.3468296848869324,0.4284959303855896,0.056266661678215216
24,88.418,87.01,0.3325595071220398,0.3867073369979858,0.053139525976465665
25,88.812,88.36,0.3221286100387573,0.3480855850458145,0.049999999999999996
26,89.2,88.32,0.3100036733722687,0.3415187557220459,0.046860474023534326
27,89.73,86.88,0.29893523441314696,0.4078984933853149,0.04373333832178478
28,90.316,88.66,0.2809766542482376,0.3502704391479492,0.040630934270713764
29,90.732,87.17,0.2692557084465027,0.38955593094825747,0.03756550564175726
30,91.076,89.86,0.2571740508270264,0.31667843267917634,0.03454915028125265
31,91.444,90.21,0.2447120581817627,0.28181675848960874,0.03159377236576612
32,92.238,90.51,0.22505971745014192,0.2931935503482819,0.028711035421746366
33,92.412,90.27,0.21581851860523224,0.2894308670043945,0.025912316294914226
34,93.008,90.99,0.2021008688879013,0.2671594034194946,0.023208660251050155
35,93.586,91.98,0.18658765209674835,0.24354215030670165,0.020610737385376346
36,94.078,91.09,0.17132981822490692,0.28440310835838317,0.01812880051256551
37,94.698,92.18,0.1557183881998062,0.24625522379875184,0.015772644703565562
38,94.986,93.11,0.14505635713338852,0.21373010811805726,0.013551568628929433
39,95.356,93.66,0.13519101971626282,0.20063006479740142,0.011474337861210542
40,95.998,93.66,0.11772599915981292,0.1994586317062378,0.009549150281252632
41,96.514,93.81,0.10424514226436615,0.19568984866142272,0.007783603724899257
42,96.754,93.94,0.0941029502606392,0.19149020624160767,0.0061846659978068205
43,97.25,93.92,0.08271735633611679,0.1880318243265152,0.004758647376699033
44,97.52,94.42,0.07429553094625473,0.17787672491073608,0.0035111757055874327
45,97.558,94.46,0.07255015451431275,0.1740275327682495,0.0024471741852423235
46,97.97,94.91,0.06327420447349548,0.17156920285224914,0.0015708419435684518
47,98.0,94.88,0.06320578191518783,0.1665587610244751,0.000885637463565564
48,98.038,94.89,0.060455332350730896,0.16857008686065675,0.00039426493427611173
49,98.152,94.87,0.05812456384062767,0.16625464253425598,9.866357858642205e-05
50,98.096,94.83,0.05771493167638779,0.1670052285194397,0.0
